ClientID,NoOfVisit,TotalPurchase,Duration,category,survey,member,Sex,Store,InActivePeriod
1362,1,583.15,0,Walkin 1,Signage,1,F,207,386
1373,1,544.95,0,Freq 1,Others,0,M,214,504
1376,1,165.3,0,Walkin 1,EXISTING CLIENTS,0,M,207,34
1382,1,713.48,0,Walkin 1,EXISTING CLIENTS,0,M,207,316
1383,3,2530.9,189,Repeat 1,Signage,1,F,207,168
1387,9,1370.78,264,Loyal 1,EXISTING CLIENTS,1,M,207,126
1395,,,,,,,,,
1398,,,,,,,,,
1417,1,168.54,0,Repeat 1,Others,0,M,,555
1419,1,134.83,0,Walkin 1,Reference,0,F,207,516
1425,1,6123.62,0,Walkin 1,EXISTING CLIENTS,0,M,207,312
1440,1,292.14,0,Walkin 1,Signage,0,M,207,168
1441,2,2886.53,0,Walkin 1,Signage,0,M,207,156
1443,1,252.81,0,Walkin 1,Reference,0,F,207,319
1450,1,44.94,0,Walkin 1,Reference,0,F,214,482
1454,1,146.07,0,Walkin 1,EXISTING CLIENTS,0,M,207,55
1464,1,168.54,0,Walkin 1,Pamphlets,0,M,207,447
1478,1,134.83,0,Walkin 1,Reference,0,M,207,414
1482,6,1269.57,385,Regular 1,Signage,1,M,207,7
1488,4,1560.68,69,Loyal 1,Reference,1,M,207,483
1489,1,1292.14,0,Walkin 1,Reference,0,M,,563
1494,2,2353.94,469,Walkin 1,Reference,0,F,207,49
1499,1,39.33,0,Walkin 1,Signage,0,F,207,311
1500,3,6257.33,8,Repeat 1,Signage,1,M,207,168
1508,2,1235.96,210,Repeat 1,Reference,0,F,207,326
1514,6,832.48,315,Regular 1,EXISTING CLIENTS,1,M,207,6
1521,1,280.9,0,Walkin 1,EXISTING CLIENTS,0,M,207,417
1565,7,953.93,253,Regular 1,EXISTING CLIENTS,1,M,207,295
1575,1,28.09,0,Walkin 1,Reference,0,F,207,416
1583,1,84.27,0,Walkin 1,EXISTING CLIENTS,0,F,207,141
1597,1,28.09,0,Walkin 1,Reference,0,F,207,553
1599,19,7776.33,518,Loyal 1,Reference,1,M,207,21
1604,3,583.15,112,Repeat 1,EXISTING CLIENTS,1,F,207,207
1607,28,7032.56,515,Regular 1,Reference,1,M,214,39
1618,1,1224.72,0,Walkin 1,Reference,0,M,207,479
1623,1,404.5,0,Walkin 1,Signage,0,F,207,224
1634,8,766.02,546,Loyal 1,Signage,0,F,207,0
1638,5,4139.35,72,Loyal 1,Signage,1,M,207,130
1643,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,62
1658,2,1339.05,0,Repeat 1,Signage,1,F,207,163
1659,6,5842.7,382,Regular 1,Reference,1,F,214,123
1669,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,F,207,110
1676,1,28.09,0,Walkin 1,Others,0,F,214,557
1690,,,,,,,,,
1698,10,3049.44,223,Regular 1,EXISTING CLIENTS,1,F,207,254
1699,1,129.21,0,Walkin 1,Signage,0,F,207,258
1712,4,13762.19,208,Loyal 1,Signage,1,M,214,311
1722,1,78.66,0,Walkin 1,EXISTING CLIENTS,0,F,207,155
1726,6,1571.91,105,Loyal 1,Hoardings,1,M,207,412
1734,42,32936.02,480,Regular 1,Reference,0,M,,79
1750,1,1330.34,0,Walkin 1,Signage,1,M,207,394
1760,1,89.89,0,Walkin 1,Reference,0,M,214,526
1771,1,640.45,0,Walkin 1,EXISTING CLIENTS,0,F,207,343
1773,7,966.28,328,Loyal 1,Hoardings,0,M,207,133
1782,3,1562.48,0,Repeat 1,Reference,1,F,207,537
1791,1,78.65,0,Repeat 1,Others,0,F,214,504
1793,1,275.28,0,Walkin 1,Reference,0,M,207,498
1798,,,,,,,,,
1799,1,134.83,0,Repeat 1,EXISTING CLIENTS,1,M,207,441
1811,1,1250,0,Walkin 1,EXISTING CLIENTS,0,M,207,35
1813,1,550,0,Walkin 1,Signage,0,F,207,193
1816,1,303.37,0,Regular 1,EXISTING CLIENTS,1,M,207,534
1822,10,9413.59,231,Loyal 1,EXISTING CLIENTS,0,F,207,23
1843,2,717.98,0,Repeat 1,Reference,1,F,207,531
1847,1,28.09,0,Walkin 1,Reference,0,M,207,435
1870,2,224.72,51,Regular 1,Reference,0,M,207,482
1875,2,234.83,0,Repeat 1,Reference,1,M,207,350
1877,19,2844.85,538,Loyal 1,Others,1,M,,22
1885,1,567.42,0,Walkin 1,Signage,0,M,207,347
1889,7,1657.3,279,Regular 1,Signage,0,M,,277
1891,12,5523.03,476,Loyal 1,Reference,1,F,214,51
1899,1,89.89,0,Repeat 1,Others,0,M,214,485
1914,1,750,0,Walkin 1,Reference,0,F,207,431
1922,1,477.53,0,Walkin 1,Reference,0,F,207,442
1923,2,158.46,223,Repeat 1,EXISTING CLIENTS,0,F,207,6
1932,26,12906.33,539,Loyal 1,News Paper,0,F,,18
1939,4,9372.88,82,Loyal 1,EXISTING CLIENTS,0,M,207,0
1955,1,168.54,0,Walkin 1,Signage,0,M,207,400
1956,1,216.6,0,Walkin 1,EXISTING CLIENTS,0,M,207,28
1959,12,2601.12,483,Regular 1,Reference,1,F,214,75
1965,37,7021.61,547,Loyal 1,Signage,1,M,214,5
1969,1,617.98,0,Walkin 1,EXISTING CLIENTS,0,M,207,228
1972,1,1421.35,0,Walkin 1,Signage,0,F,207,256
1977,4,834.1,142,Regular 1,Signage,0,M,207,21
1992,1,179.78,0,Walkin 1,News Paper,0,F,207,268
1993,1,134.83,0,Walkin 1,Reference,0,M,,560
1997,1,123.6,0,Repeat 1,EXISTING CLIENTS,0,F,207,539
2010,1,1803.38,0,Walkin 1,Others,0,F,207,53
2014,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,F,207,162
2021,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,F,207,56
2023,2,2426.98,4,Repeat 1,Reference,0,F,207,502
2024,1,342.7,0,Walkin 1,Reference,0,F,207,549
2026,1,1200.01,0,Walkin 1,Others,0,F,207,319
2034,1,182.4,0,Walkin 1,Signage,0,M,207,39
2040,2,1176.41,21,Repeat 1,Signage,0,F,207,476
2045,3,3483.16,100,Regular 1,EXISTING CLIENTS,1,M,207,446
2050,7,2285.4,370,Freq 1,Signage,1,F,214,135
2061,2,887.64,30,Repeat 1,Reference,0,M,214,457
2071,1,39.33,0,Walkin 1,Others,0,F,207,294
2074,1,0,0,Walkin 1,EXISTING CLIENTS,0,M,207,89
2085,2,1161.8,0,Repeat 1,Reference,1,M,207,525
2092,1,134.83,0,Walkin 1,Others,0,M,214,484
2094,2,814.62,150,Repeat 1,EXISTING CLIENTS,0,M,207,64
2098,3,2021.36,444,Walkin 1,Reference,1,M,214,88
2101,3,2425.84,61,Repeat 1,EXISTING CLIENTS,1,F,207,99
2121,1,78.66,0,Repeat 1,Reference,0,F,207,260
2137,2,3212.37,0,Repeat 1,EXISTING CLIENTS,1,F,207,220
2141,23,8451.6,468,Loyal 1,Corporate,0,M,207,39
2142,1,1629.22,0,Walkin 1,EXISTING CLIENTS,0,F,207,232
2152,1,545,0,Walkin 1,Signage,0,M,207,497
2156,1,168.54,0,Walkin 1,Reference,0,M,207,477
2187,2,550.56,71,Repeat 1,Reference,0,M,207,387
2193,2,219.11,202,Repeat 1,Reference,0,M,207,280
2199,1,146.07,0,Walkin 1,EXISTING CLIENTS,0,M,207,179
2210,1,148.2,0,Walkin 1,EXISTING CLIENTS,0,M,,2
2217,1,39.9,0,Walkin 1,EXISTING CLIENTS,0,F,207,28
2239,2,337.08,16,Repeat 1,Reference,0,M,207,496
2246,12,6875.3,218,Freq 1,Signage,1,M,214,289
2257,1,39.33,0,Walkin 1,Others,0,F,207,223
2259,13,25263.86,530,Loyal 1,Reference,1,F,207,16
2266,23,6528.88,525,Loyal 1,Reference,1,F,214,15
2273,1,617.98,0,Walkin 1,EXISTING CLIENTS,0,M,207,331
2283,15,2887.67,451,Loyal 1,Reference,1,F,214,90
2287,2,515.73,0,Repeat 1,Others,1,M,207,541
2292,3,415.73,245,Repeat 1,EXISTING CLIENTS,0,M,207,225
2298,22,8157.31,481,Loyal 1,Signage,1,F,214,52
2303,23,9994.42,470,Loyal 1,Reference,1,F,,90
2317,7,8949.03,415,Repeat 1,Reference,1,M,214,62
2319,2,717.98,0,Repeat 1,Signage,1,F,207,175
2335,6,3910.13,332,Loyal 1,EXISTING CLIENTS,1,F,207,179
2353,2,1982.03,0,Repeat 1,Reference,1,F,207,223
2370,2,528.09,246,Repeat 1,Signage,0,M,207,185
2371,21,4190.61,561,Loyal 1,Reference,1,M,,0
2375,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,M,207,92
2380,1,3539.34,0,Walkin 1,Signage,0,M,207,483
2382,5,1511.24,299,Freq 1,Hoardings,1,F,,260
2386,1,191.01,0,Walkin 1,Hoardings,0,F,207,457
2390,,,,,,,,,
2392,3,515.42,364,Repeat 1,EXISTING CLIENTS,0,M,207,21
2393,26,14126.8,503,Regular 1,Signage,1,M,214,17
2394,,,,,,,,,
2407,1,106.74,0,Walkin 1,Reference,0,F,214,540
2410,1,1841.58,0,Walkin 1,EXISTING CLIENTS,1,F,207,382
2428,5,703.09,101,Loyal 1,EXISTING CLIENTS,1,M,207,11
2429,1,84.27,0,Walkin 1,EXISTING CLIENTS,0,F,207,174
2437,1,717.98,0,Walkin 1,Signage,1,F,207,378
2445,3,3712.37,31,Repeat 1,EXISTING CLIENTS,1,F,207,157
2456,2,3084.28,457,Walkin 1,Reference,0,F,207,92
2458,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,F,207,64
2461,1,112.36,0,Walkin 1,Others,0,M,207,179
2467,1,101.12,0,Walkin 1,EXISTING CLIENTS,0,F,207,375
2469,1,176.7,0,Walkin 1,EXISTING CLIENTS,0,M,,5
2473,1,151.69,0,Walkin 1,EXISTING CLIENTS,0,M,207,124
2475,1,296.4,0,Walkin 1,Signage,0,M,207,39
2480,1,146.07,0,Walkin 1,EXISTING CLIENTS,0,M,207,187
2483,9,7887.04,425,Regular 1,Signage,1,F,207,0
2487,38,9476.71,548,Loyal 1,EXISTING CLIENTS,1,F,,13
2493,2,269.66,52,Regular 1,EXISTING CLIENTS,1,M,,503
2498,1,134.83,0,Repeat 1,Reference,0,M,207,509
2504,1,589.89,0,Walkin 1,EXISTING CLIENTS,0,M,207,78
2517,11,30447.15,140,Loyal 1,EXISTING CLIENTS,1,F,207,384
2523,3,518.7,38,Repeat 1,EXISTING CLIENTS,0,M,207,0
2534,1,123.6,0,Walkin 1,EXISTING CLIENTS,0,M,207,406
2551,1,842.46,0,Walkin 1,EXISTING CLIENTS,0,F,,5
2552,2,1235.97,45,Repeat 1,Signage,0,M,207,81
2562,3,1914.62,18,Repeat 1,EXISTING CLIENTS,1,F,207,228
2564,2,1499.71,0,Repeat 1,EXISTING CLIENTS,0,F,207,86
2567,21,24176.63,304,Loyal 1,EXISTING CLIENTS,1,M,207,11
2576,2,393.26,60,Repeat 1,EXISTING CLIENTS,0,M,207,63
2583,7,971.93,210,Freq 1,Reference,0,F,207,330
2592,1,179.78,0,Walkin 1,EXISTING CLIENTS,0,F,207,252
2594,1,1179.78,0,Walkin 1,EXISTING CLIENTS,1,F,207,533
2600,8,21755.82,340,Freq 1,Signage,1,F,207,66
2603,20,29307.61,488,Loyal 1,Reference,0,F,214,70
2616,3,2258.43,174,Repeat 1,Signage,0,M,207,272
2621,1,168.54,0,Regular 1,Others,0,M,,560
2623,1,134.83,0,Walkin 1,Signage,1,M,207,447
2633,1,146.07,0,Walkin 1,Gift Coupon - External,0,M,207,54
2641,2,1932.59,27,Repeat 1,Reference,0,M,207,407
2642,5,2021.35,218,Freq 1,Others,1,F,207,295
2646,1,443.83,0,Walkin 1,Signage,0,F,207,302
2656,1,179.78,0,Walkin 1,Signage,0,M,207,182
2657,1,1207.87,0,Walkin 1,Reference,0,F,207,462
2659,5,4055.63,254,Freq 1,Signage,1,M,214,272
2664,9,7109.03,341,Loyal 1,EXISTING CLIENTS,0,M,207,103
2676,3,707.87,123,Repeat 1,EXISTING CLIENTS,0,M,207,85
2682,1,895,0,Walkin 1,EXISTING CLIENTS,0,M,207,179
2684,2,1451.66,0,Repeat 1,EXISTING CLIENTS,1,F,,9
2686,2,886.52,0,Repeat 1,Signage,1,M,207,358
2707,12,12922.22,512,Regular 1,EXISTING CLIENTS,1,F,207,35
2711,1,28.09,0,Walkin 1,Reference,0,F,207,493
2725,2,433.74,21,Repeat 1,EXISTING CLIENTS,0,F,207,37
2730,2,1133.71,1,Repeat 1,Reference,1,M,207,514
2738,2,1246.07,0,Repeat 1,Reference,1,M,,557
2740,2,707.87,68,Repeat 1,Signage,0,M,214,477
2742,2,814.1,0,Repeat 1,Reference,0,F,214,550
2756,13,19799.67,278,Loyal 1,EXISTING CLIENTS,0,F,207,7
2772,1,73.04,0,Walkin 1,Banners,1,F,207,224
2786,1,123.6,0,Walkin 1,Signage,0,M,207,169
2795,3,5589.91,153,Regular 1,Reference,1,F,207,322
2803,8,3013.38,473,Loyal 1,Reference,0,M,207,14
2817,3,369.66,133,Repeat 1,EXISTING CLIENTS,1,M,207,119
2819,2,269.66,82,Regular 1,Signage,0,F,214,409
2840,1,39.33,0,Walkin 1,EXISTING CLIENTS,0,F,207,214
2842,3,880.78,216,Repeat 1,EXISTING CLIENTS,1,F,207,14
2845,1,101.12,0,Walkin 1,EXISTING CLIENTS,1,F,207,487
2857,2,387.64,330,Repeat 1,Reference,0,M,,229
2859,2,348.32,397,Walkin 1,Reference,0,M,214,166
2862,14,2938.25,432,Loyal 1,Signage,0,F,214,68
2867,1,123.6,0,Walkin 1,Reference,0,F,207,511
2869,4,18000.07,367,Repeat 1,Reference,0,F,207,84
2873,4,1490.91,140,Regular 1,EXISTING CLIENTS,0,M,207,14
2874,1,191.01,0,Repeat 1,Others,0,M,214,561
2885,1,168.54,0,Walkin 1,Reference,0,M,207,410
2887,,,,,,,,,
2894,14,2608.58,487,Regular 1,Others,1,M,214,39
2897,5,4022.48,243,Regular 1,Reference,1,F,207,304
2901,1,264.05,0,Walkin 1,Others,0,M,207,285
2923,1,39.33,0,Walkin 1,EXISTING CLIENTS,0,F,207,147
2934,1,2247.2,0,Walkin 1,Others,0,M,207,246
2935,6,893.27,418,Regular 1,Reference,0,M,214,119
2971,4,1186.81,46,Loyal 1,EXISTING CLIENTS,1,M,207,288
2976,1,247.19,0,Walkin 1,EXISTING CLIENTS,0,M,207,111
